FullName,FirstName,LastName,BirthYear,DeathYear,id
Joe Sullivan,Joe,Sullivan,,,434
Mezz Mezzrow,Mezz,Mezzrow,1899,1972,435
George Baquet,George,Baquet,,,436
Pee Wee Spitelera,Pee Wee,Spitelera,,,437
John Casimir,John,Casimir,1898,1969,438
Gertrude Ward,Gertrude,Ward,,,439
Alex Bradford,Alex,Bradford,,,440
Willie Mae Ford Smith,Willie Mae,Ford Smith,,,441
Clara Ward,Clara,Ward,,,442
Lucie E. Campbell,Lucie E.,Campbell,,,443
Brother Joe May,Brother Joe,May,,,444
Ernestine Washington,Ernestine,Washington,,,445
Sister Rosetta Tharpe,Sister Rosetta,Tharpe,,,446
Roberta Martin,Roberta,Martin,,,447
James Cleveland,James,Cleveland,,,448
Sallie Martin,Sallie,Martin,,,449
R. L. Knowles,R. L.,Knowles,,,450
Rev. Clarence Cobbs,Clarence,Cobbs,,,451
Kenneth Morris,Kenneth,Morris,,,452
Albertina Walker,Albertina,Walker,,,453
Mahalia Jackson,Mahalia,Jackson,,,454
William Russell,William,Russell,1905,1992,455
Sylvester Handy,Sylvester,Handy,,,456
John Handy,John,Handy,,,457
Harvey Kindervater,Harvey,Kindervater,,,458
Jim Jr Cullum,Jim Jr,Cullum,,,459
Wilson Davis,Wilson,Davis,,,460
Jim Sr Cullum,Jim Sr,Cullum,,,461
Cliff Gillette,Cliff,Gillette,,,462
Ben Valfre,Ben,Valfre,,,463
Pedro Vargas,Pedro,Vargas,,,464
Jorge Carrido,Jorge,Carrido,,,465
Bill Smither,Bill,Smither,,,466
Al Doria,Al,Doria,,,467
Boojie Centobie,Boojie,Centobie,1915,,468
Roy Zimmerman,Roy,Zimmerman,,,469
George Hartman,George,Hartman,,,470
Martin Jr Abraham,Martin Jr,Abraham,,,471
Brad Gowans,Brad,Gowans,,,472
Edmond Hall,Edmond,Hall,1901,1967,473
Velma Middleton,Velma,Middleton,1917,1961,474
Floyd Jackson,Floyd,Jackson,,,475
Henry Sawyer,Henry,Sawyer,,,476
John Porter,John,Porter,,,477
David Jones,David,Jones,,,478
Nub Jacobs,Nub,Jacobs,,,479
Anthony Holmes,Anthony,Holmes,,,480
Dennis Harris,Dennis,Harris,,,481
Joe Porter,Joe,Porter,,,482
Louis Dumaine,Louis,Dumaine,,,483
Israel Gorman,Israel,Gorman,1895,1965,484
Louis James,Louis,James,,,485
Joe Thomas,Joe,Thomas,,,486
Joe Watkins,Joe,Watkins,,,487
Ollie Johnson,Ollie,Johnson,,,488
Ash Hardy,Ash,Hardy,,,489
Ben Borders,Ben,Borders,,,490
Emory Thompson,Emory,Thompson,,,491
Thomas Jefferson,Thomas,Jefferson,1920,1986,492
Herb Morand,Herb,Morand,1905,1952,493
Austin Young,Austin,Young,,,494
Dr. John,Dr.,John,1941,,495
Jessie Smith,Jessie,Smith,,,496
Robbie Montgomery,Robbie,Montgomery,,,497
James A. Palao,James A.,Palao,,,498
Rene Baptiste,Rene,Baptiste,,,499
Billy Marrero,Billy,Marrero,,,500
Jackie Hatcher,Jackie,Hatcher,,,501
Emily M. Thompson,Emily M.,Thompson,,,502
Kaiser Marshall,Kaiser,Marshall,1902,1948,503
Donald Ewell,Donald,Ewell,1916,1983,504
Huddie Ledbetter,Huddie,Ledbetter,,,505
Jimmy McPartland,Jimmy,McPartland,1907,1991,506
Bud Jacobsen,Bud,Jacobsen,,,507
Boyce Brown,Boyce,Brown,,,508
Dick McPartland,Dick,McPartland,,,509
Arthur Ogle,Arthur,Ogle,,,510
Chester Jones,Chester,Jones,,,511
Vern Cook,Vern,Cook,,,512
Harry Souchon,Harry,Souchon,,,513
Joseph Butler,Joseph,Butler,1907,1982,514
Leonard Brackett,Leonard,Brackett,,,515
Sonny Faggart,Sonny,Faggart,,,516
Manuel Perez,Manuel,Perez,1873,1946,517
John McMurray,John,McMurray,,,518
Jimmy Brown,Jimmy,Brown,,,519
Mahalia Jackson,Mahalia,Jackson,1911,1972,520
Louis Keppard,Louis,Keppard,1888,1986,521
Adolphe Alexander,Adolphe,Alexander,Jr.,,523
Louis Madison,Louis,Madison,,,524
Lawrence Marrero,Lawrence,Marrero,,,525
Dink Johnson,Dink,Johnson,,,526
Merle Koch,Merle,Koch,,,527
Bill Crais,Bill,Crais,,,528
Andy Lockhart,Andy,Lockhart,,,529
Mina Lea Crais,Mina Lea,Crais,,,530
Cosimo Matassa,Cosimo,Matassa,,,531
George Lane,George,Lane,,,532
Fate Marable,Fate,Marable,1890,1947,533
Manuel Manetta,Manuel,Manetta,,,534
Omer Simeon,Omer,Simeon,1898,1959,535
Kid Ory,Kid,Ory,1886,1973,536
Jelly Roll Morton,Jelly Roll,Morton,1890,1941,537
Theodore Riley,Theodore,Riley,1924,1992,538
Albert Wynn,Albert,Wynn,1907,1973,539
Eddie Morris,Eddie,Morris,,,540
Alton Purnell,Alton,Purnell,1911,1987,541
Francis Murray,Francis,Murray,,,542
Walter Decou,Walter,Decou,,,543
Alphonse Picou,Alphonse,Picou,1878,1961,544
