FullName,FirstName,LastName,BirthYear,DeathYear
Sidney Bechet,Sidney,Bechet,1897,1959
Robert Lewis,Robert,Lewis,1900,1965
Jimmy Archey,Jimmy,Archey,1902,1967
George Wettling,George,Wettling,,
Elmer Schoebel,Elmer,Schoebel,,
Bill Reinhart,Bill,Reinhart,,
Munn Ware,Munn,Ware,,
Danny Alvin,Danny,Alvin,,
Floyd Bean,Floyd,Bean,,
Ray Parker,Ray,Parker,,
Bunk Johnson,Bunk,Johnson,1879,1949
George Thompson,George,Thompson,,
Rex Stewart,Rex,Stewart,1907,1967
Min Leibrook,Min,Leibrook,,
Jimmy Hartwell,Jimmy,Hartwell,,
Geo Johnson,Geo,Johnson,,
Bob Gilette,Bob,Gilette,,
Vic Moore,Vic,Moore,,
Dick Voynow,Dick,Voynow,,
Bix Beiderbecke,Bix,Beiderbecke,1903,1931
Al Gandee,Al,Gandee,,
Babe Belmore,Babe,Belmore,,
Eubie Blake,Eubie,Blake,,
Carroll Blunt,Carroll,Blunt,,
Frank Murray,Frank,Murray,,
John Wimberley,John,Wimberley,,
Leroy Robinet,Leroy,Robinet,,
Barry Martyn,Barry,Martyn,,
Harold Edward,Harold,Edward,,
George Lewis,George,Lewis,1900,1968
Emanuel Sayles,Emanuel,Sayles,1907,1986
John Joseph,John,Joseph,1877,1965
Dwight Newman,Dwight,Newman,,
Henry Martin,Henry,Martin,,
Charles Bocage,Charles,Bocage,,
Louis Warnick,Louis,Warnick,,
Henry Bocage,Henry,Bocage,,
Willie Warner,Willie,Warner,,
Willie Cornish,Willie,Cornish,,
Buddy Bolden,Buddy,Bolden,1877,1931
Jimmie Johnson,Jimmie,Johnson,,
Frank Lewis,Frank,Lewis,,
Brock Mumford,Brock,Mumford,,
Sharkey Bonano,Sharkey,Bonano,1904,1972
Wellman Braud,Wellman,Braud,1891,1966
Clarence Brown,Clarence,Brown,1924,2005
Steve Brown,Steve,Brown,1890,1965
Tom Brown,Tom,Brown,1888,1958
Merrit Brunies,Merrit,Brunies,,
Abbie Brunies,Abbie,Brunies,1900,1978
George Brunis,George,Brunis,1902,1974
Martin Behrman,Martin,Behrman,,
Andrew McShane,Andrew,McShane,,
Lee Collins,Lee,Collins,1901,1960
Louis Gallaud,Louis,Gallaud,,
Ernest Rogers,Ernest,Rogers,1891,1956
Albert Jiles,Albert,Jiles,1905,1964
Pee Wee Russell,Pee Wee,Russell,,
Baby Dodds,Baby,Dodds,,
Max Kaminsky,Max,Kaminsky,,
Eddie Condon,Eddie,Condon,,
Al Lobre,Al,Lobre,,
Anthony Palmisano,Anthony,Palmisano,,
Warren Duncan,Warren,Duncan,,
Punch Miller,Punch,Miller,,
Joe Kid Avery,Joe Kid,Avery,1892,1955
Wooden Joe Nicholas,Wooden Joe,Nicholas,,
Danny Barker,Danny,Barker,1909,1994
Herbert Otto,Herbert,Otto,,
Bob Matthews,Bob,Matthews,,
Tony Parenti,Tony,Parenti,1900,1972
Harry Shields,Harry,Shields,1899,1971
Buddy Burns,Buddy,Burns,,
Tony Giardina,Tony,Giardina,1897,1956
Milton John Hinton,Milton John,Hinton,1910,2000
Cozy Cole,Cozy,Cole,1909,1981
Chu Berry,Chu,Berry,,
Paul Jackson,Paul,Jackson,,
Bill Price,Bill,Price,,
Bob Lovett,Bob,Lovett,,
Allan Fredricks,Allan,Fredricks,,
Jeff Hazelton,Jeff,Hazelton,,
Joe Dolliole,Joe,Dolliole,,
Clarence Tisdale,Clarence,Tisdale,,
George Henders,George,Henders,,
Henry Cazenave,Henry,Cazenave,,
Elmer Talbert,Elmer,Talbert,,
Albert Warner,Albert,Warner,,
George Stewart,George,Stewart,,
Johnny Prudence,Johnny,Prudence,,
Brun Campbell,Brun,Campbell,,
Delois Barrett Campbell,Delois Barrett,Campbell,,
Buster Wilson,Buster,Wilson,,
Mutt Carey,Mutt,Carey,1891,1948
Minor �Ram� Hall,Minor,Hall,1897,1959
George Williams,George,Williams,1910,1965
Joseph Thomas,Joseph,Thomas,1902,1981
Oscar Henry,Oscar,Henry,,
Albert French,Albert,French,1910,1977
Bill Matthews,Bill,Matthews,1899,1964
John Jones,John,Jones,,
Wilbert Tillman,Wilbert,Tillman,1907,1967
Fats Houston,Fats,Houston,,
Henry Glass,Henry,Glass,,
Bill Brown,Bill,Brown,,
Jesse Charles,Jesse,Charles,,
Anderson Minor,Anderson,Minor,,
Chicken Henry,Chicken,Henry,,
Vernon Gilbert,Vernon,Gilbert,,
Worthia Thomas,Worthia,Thomas,1907,1994
Lester Santiago,Lester,Santiago,1909,1965
Vernon Giblert,Vernon,Giblert,,
Kid Sheik Colar,Kid Sheik,Colar,,
Mike Casimir,Mike,Casimir,,
Chris Coope,Chris,Coope,,
John Williams,John,Williams,,
Clive Wilson,Clive,Wilson,,
Bill Rainbird,Bill,Rainbird,,
Tony O'Sullivan,Tony,O'Sullivan,,
Ray Casimir,Ray,Casimir,,
Jim Young,Jim,Young,,
Chris McDonald,Chris,McDonald,,
Jack MacMahon,Jack,MacMahon,,
Paul Williams,Paul,Williams,,
Jeanette Kimball,Jeanette,Kimball,1906,2001
Sidney Brown,Sidney,Brown,,
Ray Charles,Ray,Charles,,
Fats Domino,Fats,Domino,,
Jerry Lee Lewis,Jerry Lee,Lewis,,
Anderson Saucier,Anderson,Saucier,,
Jeep Robinson,Jeep,Robinson,,
Bill Thompson,Bill,Thompson,,
Charlie McBride,Charlie,McBride,,
Bill Reid,Bill,Reid,,
Bujie Centobie,Bujie,Centobie,,
Johnny Wiggs,Johnny,Wiggs,1899,1977
Freddy King,Freddy,King,,
Wallace Collins,Wallace,Collins,,
Oscar Celestin,Oscar,Celestin,1884,1954
Julian Laine,Julian,Laine,,
Willie Guitar,Willie,Guitar,,
Manuel Gomez,Manuel,Gomez,,
Henry Nunez,Henry,Nunez,,
Yellow Nunez,Yellow,Nunez,,
Frank Christian,Frank,Christian,,
Charlie Christian,Charlie,Christian,,
Ed Blaise,Ed,Blaise,,
John Harrington,John,Harrington,,
Mabel Carter,Mabel,Carter,,
Harold Dejan,Harold,Dejan,1909,2002
Josiah Frazier,Josiah,Frazier,,
Edgar Joseph,Edgar,Joseph,,
Eddie Summers,Eddie,Summers,,
Raymond Glapion,Raymond,Glapion,,
Clarence Breckenridge,Clarence,Breckenridge,,
Clarence Breckinridge,Clarence,Breckinridge,,
Miff Mole,Miff,Mole,1898,1961
George Winn,George,Winn,,
Dick Ruedebu,Dick,Ruedebu,,
Bob Anderson,Bob,Anderson,,
Arthur W. Hodes,Arthur W.,Hodes,1904,1993
Ann Cook,Ann,Cook,,
Bert Green,Bert,Green,,
Fred Garland,Fred,Garland,,
Andrew Hillaire,Andrew,Hillaire,,
Freddie Keppard,Freddie,Keppard,1890,1933
R.E. Graham,R.E.,Graham,,
Rudolph Reynaud,Rudolph,Reynaud,,
Ken Anderson,Ken,Anderson,,
Don Pasqual,Don,Pasqual,,
Jimmie Noone,Jimmie,Noone,1895,1944
C.L. Cook,C.L.,Cook,,
Noah Cook,Noah,Cook,,
Hank Kmen,Hank,Kmen,1915,
Sherwood Mangiapane,Sherwood,Mangiapane,1912,1992
Jack Bachman,Jack,Bachman,1917,
Stanley Mendelson,Stanley,Mendelson,1923,
Bill Humphries,Bill,Humphries,1927,
Edmond Souchon,Edmond,Souchon,1897,1968
Alcide Pavageau,Alcide,Pavageau,1888,1969
Manuel Paul,Manuel,Paul,,
Ed Lewis,Ed,Lewis,,
Nick Polites,Nick,Polites,,
Stanley Mendels,Stanley,Mendels,,
Joe Darensbourg,Joe,Darensbourg,1906,1985
Lionel Ferbos,Lionel,Ferbos,,
Leo Dejan,Leo,Dejan,,
Alvin McNeal,Alvin,McNeal,,
Herb Leary,Herb,Leary,,
Russ Cabie,Russ,Cabie,,
Sherman Cook,Sherman,Cook,,
Sidney Montague,Sidney,Montague,,
Rube McClennon,Rube,McClennon,,
August Lanoix,August,Lanoix,,
Carole Martyn,Carole,Martyn,,
Jack Delaney,Jack,Delaney,1930,1975
Mike Delay,Mike,Delay,,
Ray Lopez,Ray,Lopez,1889,1970
Arnold Depass,Arnold,Depass,,
Gene Ware,Gene,Ware,,
Tats Alexander,Tats,Alexander,,
Sidney Desvigne,Sidney,Desvigne,,
Ransom Knowlin,Ransom,Knowlin,,
Ted Purnell,Ted,Purnell,,
Adolphe Duconge,Adolphe,Duconge,,
Walt Cosby,Walt,Cosby,,
Willie Dixon,Willie,Dixon,,
Warren Dodds,Warren,Dodds,1898,1959
Natty Dominique,Natty,Dominique,,
R. Tervalon,R.,Tervalon,,
Sam Casimir,Sam,Casimir,,
W. Nettles,W.,Nettles,,
Jasper Taylor,Jasper,Taylor,,
Odell Rand,Odell,Rand,,
Thomas Andrew Dorsey,Thomas Andrew,Dorsey,,
Clayton Hannah,Clayton,Hannah,,
Milton Batiste,Milton,Batiste,1934,2001
Andrew Jefferson,Andrew,Jefferson,,
Jessie Jackson,Jessie,Jackson,,
Fred Assunto,Fred,Assunto,1929,1966
Frank Assunto,Frank,Assunto,1922,1974
Bill Porter,Bill,Porter,,
Jerry Fuller,Jerry,Fuller,,
Norman Hawley,Norman,Hawley,,
Stanley Mendels,Stanley,Mendels,1923,
Lawrence Marrero,Lawrence,Marrero,1900,1959
Maurice Durand,Maurice,Durand,,
Amos White,Amos,White,,
Honore Dutrey,Honore,Dutrey,1894,1935
Fird Snoooks Eaglin,Fird Snoooks,Eaglin,,
Charles Elgar,Charles,Elgar,,
Earl Humphrey,Earl,Humphrey,,
Jerome Green,Jerome,Green,,
John Smith,John,Smith,,
Ed King,Ed,King,,
Maunuel Paul,Maunuel,Paul,,
Kid Thomas Valentine,Kid Thomas,Valentine,,
Jerry Green,Jerry,Green,,
Joseph Thomas,Joseph,Thomas,,
Waldren Joseph,Waldren,Joseph,1918,2004
Jesse Fuller,Jesse,Fuller,1896,1976
Ed Garland,Ed,Garland,1885,1980
Willie Pajaud,Willie,Pajaud,1895,1960
Emanuel Paul,Emanuel,Paul,,
Charles Henry,Charles,Henry,1885,1960
Joseph Clark,Joseph,Clark,,
Ruben Roddy,Ruben,Roddy,1906,1960
Edmond Washington,Edmond,Washington,,
Ruben Roddy,Ruben,Roddy,1906,1960?
Ace Watson,Ace,Watson,,
Willie Pajaud,Willie,Pajaud,,
Otto Herbert,Otto,Herbert,,
Alfred Williams,Alfred,Williams,,
Robert Lewis,Robert,Lewis,,
Ed Fontana,Ed,Fontana,,
Lee Evans,Lee,Evans,,
Tony Lada,Tony,Lada,,
Johnny Fischer,Johnny,Fischer,,
Ernie Erdmann,Ernie,Erdmann,,
Al Rose,Al,Rose,1916,1993
Sam Price,Sam,Price,,
Sammy Price,Sammy,Price,,
Bill Davidson,Bill,Davidson,,
Joe Sullivan,Joe,Sullivan,,
Mezz Mezzrow,Mezz,Mezzrow,1899,1972
George Baquet,George,Baquet,,
Pee Wee Spitelera,Pee Wee,Spitelera,,
John Casimir,John,Casimir,1898,1969
Gertrude Ward,Gertrude,Ward,,
Alex Bradford,Alex,Bradford,,
Willie Mae Ford Smith,Willie Mae,Ford Smith,,
Clara Ward,Clara,Ward,,
Lucie E. Campbell,Lucie E.,Campbell,,
Brother Joe May,Brother Joe,May,,
Ernestine Washington,Ernestine,Washington,,
Sister Rosetta Tharpe,Sister Rosetta,Tharpe,,
Roberta Martin,Roberta,Martin,,
James Cleveland,James,Cleveland,,
Sallie Martin,Sallie,Martin,,
R. L. Knowles,R. L.,Knowles,,
Rev. Clarence Cobbs,Clarence,Cobbs,,
Kenneth Morris,Kenneth,Morris,,
Albertina Walker,Albertina,Walker,,
Mahalia Jackson,Mahalia,Jackson,,
William Russell,William,Russell,1905,1992
Sylvester Handy,Sylvester,Handy,,
John Handy,John,Handy,,
Harvey Kindervater,Harvey,Kindervater,,
Jim Jr Cullum,Jim Jr,Cullum,,
Wilson Davis,Wilson,Davis,,
Jim Sr Cullum,Jim Sr,Cullum,,
Cliff Gillette,Cliff,Gillette,,
Ben Valfre,Ben,Valfre,,
Pedro Vargas,Pedro,Vargas,,
Jorge Carrido,Jorge,Carrido,,
Bill Smither,Bill,Smither,,
Al Doria,Al,Doria,,
Boojie Centobie,Boojie,Centobie,1915,
Roy Zimmerman,Roy,Zimmerman,,
George Hartman,George,Hartman,,
Martin Jr Abraham,Martin Jr,Abraham,,
Brad Gowans,Brad,Gowans,,
Edmond Hall,Edmond,Hall,1901,1967
Velma Middleton,Velma,Middleton,1917,1961
Floyd Jackson,Floyd,Jackson,,
Henry Sawyer,Henry,Sawyer,,
John Porter,John,Porter,,
David Jones,David,Jones,,
Nub Jacobs,Nub,Jacobs,,
Anthony Holmes,Anthony,Holmes,,
Dennis Harris,Dennis,Harris,,
Joe Porter,Joe,Porter,,
Louis Dumaine,Louis,Dumaine,,
Israel Gorman,Israel,Gorman,1895,1965
Louis James,Louis,James,,
Joe Thomas,Joe,Thomas,,
Joe Watkins,Joe,Watkins,,
Ollie Johnson,Ollie,Johnson,,
Ash Hardy,Ash,Hardy,,
Ben Borders,Ben,Borders,,
Emory Thompson,Emory,Thompson,,
Thomas Jefferson,Thomas,Jefferson,1920,1986
Herb Morand,Herb,Morand,1905,1952
Austin Young,Austin,Young,,
Dr. John,Dr.,John,1941,
Jessie Smith,Jessie,Smith,,
Robbie Montgomery,Robbie,Montgomery,,
James A. Palao,James A.,Palao,,
Rene Baptiste,Rene,Baptiste,,
Billy Marrero,Billy,Marrero,,
Jackie Hatcher,Jackie,Hatcher,,
Emily M. Thompson,Emily M.,Thompson,,
Kaiser Marshall,Kaiser,Marshall,1902,1948
Donald Ewell,Donald,Ewell,1916,1983
Huddie Ledbetter,Huddie,Ledbetter,,
Jimmy McPartland,Jimmy,McPartland,1907,1991
Bud Jacobsen,Bud,Jacobsen,,
Boyce Brown,Boyce,Brown,,
Dick McPartland,Dick,McPartland,,
Arthur Ogle,Arthur,Ogle,,
Chester Jones,Chester,Jones,,
Vern Cook,Vern,Cook,,
Harry Souchon,Harry,Souchon,,
Joseph Butler,Joseph,Butler,1907,1982
Leonard Brackett,Leonard,Brackett,,
Sonny Faggart,Sonny,Faggart,,
Manuel Perez,Manuel,Perez,1873,1946
John McMurray,John,McMurray,,
Jimmy Brown,Jimmy,Brown,,
Mahalia Jackson,Mahalia,Jackson,1911,1972
Louis Keppard,Louis,Keppard,1888,1986
Adolphe Alexander,Adolphe,Alexander,Jr.,
Louis Madison,Louis,Madison,,
Lawrence Marrero,Lawrence,Marrero,,
Dink Johnson,Dink,Johnson,,
Merle Koch,Merle,Koch,,
Bill Crais,Bill,Crais,,
Andy Lockhart,Andy,Lockhart,,
Mina Lea Crais,Mina Lea,Crais,,
Cosimo Matassa,Cosimo,Matassa,,
George Lane,George,Lane,,
Fate Marable,Fate,Marable,1890,1947
Manuel Manetta,Manuel,Manetta,,
Omer Simeon,Omer,Simeon,1898,1959
Kid Ory,Kid,Ory,1886,1973
Jelly Roll Morton,Jelly Roll,Morton,1890,1941
Theodore Riley,Theodore,Riley,1924,1992
Albert Wynn,Albert,Wynn,1907,1973
Eddie Morris,Eddie,Morris,,
Alton Purnell,Alton,Purnell,1911,1987
Francis Murray,Francis,Murray,,
Walter Decou,Walter,Decou,,
Alphonse Picou,Alphonse,Picou,1878,1961
Dolly Adams,Dolly,Adams,1904,1981
Justin Adams,Justin,Adams,1923,1991
Placide Adams,Placide,Adams,1929,2003
Tom Albert,Tom,Albert,1877,1968
Alvin Alcorn,Alvin,Alcorn,1912,2003
Adolphe Alexander,Adolphe,Alexander,1898,1969
Dora Alexander,Dora,Alexander,,
Ricard Alexis,Ricard,Alexis,1861,1960
Henry Allen,Henry,Allen,1908,1967
Richard Allen,Richard,Allen,1927,2007
Frank Amacker,Frank,Amacker,1890,1976
Andy Anderson,Andy,Anderson,1905,1982
Steve Angrum,Steve,Angrum,1895,1961
Louis Armstrong,Louis,Armstrong,1901,1971
Albert Artigues,Albert,Artigues,,
Alden Ashforth,Alden,Ashforth,,
Frank Assunto,Frank,Assunto,1922,1974
Fred Assunto,Fred,Assunto,1929,1966
Joe Avery,Joe,Avery,1892,1955
David Bailey,David,Bailey,1926,
Buck Banville,Buck,Banville,,
Quentin Baptiste,Quentin,Baptiste,,
Isidore Barbarin,Isidore,Barbarin,1871,1960
Louis Barbarin,Louis,Barbarin,1902,1997
Paul Barbarin,Paul,Barbarin,1899,1969
Emile Barnes,Emile,Barnes,1892,1970
Harrison Barnes,Harrison,Barnes,,
Paul Barnes,Paul,Barnes,1901,1981
Emma Barrett,Emma,Barrett,1897,1983
Ray Bauduc,Ray,Bauduc,1909,1988
Rudolph Beaulieu,Rudolph,Beaulieu,,
Leonard Bechet,Leonard,Bechet,,
Stuart Bergen,Stuart,Bergen,1911,
John Bernard,John,Bernard,,
Carroll Blunt,Carroll,Blunt,,
Peter Bocada,Peter,Bocada,,
Peter Bocage,Peter,Bocage,1887,1967
Wilford Bocage,Wilford,Bocage,,
Lonnie Bolden,Lonnie,Bolden,,
Carrie Boote,Carrie,Boote,,
Bill Bourgeois,Bill,Bourgeois,,
Harrison Brazley,Harrison,Brazley,,
McNeal Breaux,McNeal,Breaux,1916,2002
Bill Brown,Bill,Brown,,
Clifford Brown,Clifford,Brown,,
Sidney Brown,Sidney,Brown,,
Tom Brown,Tom,Brown,1888,1958
Clifford Bruce,Clifford,Bruce,,
Abbie Brunies,Abbie,Brunies,1900,1978
John Brunious,John,Brunious,1940,2008
Albert Burbank,Albert,Burbank,1902,1976
Raymond Burke,Raymond,Burke,1904,1986
Joseph Butler,Joseph,Butler,1907,1982
Ernie Cagnolatti,Ernie,Cagnolatti,1911,1983
Eddie Carr,Eddie,Carr,,
Wilson Cary,Wilson,Cary,,
John Casimir,John,Casimir,1898,1969
Oscar Celestin,Oscar,Celestin,1884,1954
Boojie Centobie,Boojie,Centobie,1915,
Hypolite Charles,Hypolite,Charles,1891,1989
Jesse Charles,Jesse,Charles,,
Emile Christian,Emile,Christian,,
Harold Christophe,Harold,Christophe,,
Joseph Clark,Joseph,Clark,,
Joseph Clark,Joseph,Clark,1894,1960
James Clayton,James,Clayton,,
George Colar,George,Colar,1908,1996
Martin Cole,Martin,Cole,,
Ciro Colico,Ciro,Colico,,
Ralph Collins,Ralph,Collins,,
Ann Cook,Ann,Cook,,
Charlie Cordilla,Charlie,Cordilla,,
Louis Cottrell,Louis,Cottrell,1911,1978
James Covert,James,Covert,,
James Crawford,James,Crawford,1934,
Paul Crawford,Paul,Crawford,1925,1996
Ralston Crawford,Ralston,Crawford,1906,1978
Octave Crosby,Octave,Crosby,1898,1972
Manuel Crusto,Manuel,Crusto,,
Sid Davilla,Sid,Davilla,,
Jimmy Davis,Jimmy,Davis,,
Robert Davis,Robert,Davis,,
Eddie Dawson,Eddie,Dawson,1884,1972
Walter Decou,Walter,Decou,,
Harold Dejan,Harold,Dejan,1909,2002
Albert Delone,Albert,Delone,,
Irwin Dennis,Irwin,Dennis,,
Laurena Diggs,Laurena,Diggs,,
Lawrence Duh√©,Lawrence,Duh√©,1887,1960
Lefty Eirmann,Lefty,Eirmann,,
Louis Escard,Louis,Escard,,
Homer Eugene,Homer,Eugene,,
Wendell Eugene,Wendell,Eugene,1923,
Charlie Favrot,Charlie,Favrot,,
Frank Federico,Frank,Federico,,
Johnny Fernandez,Johnny,Fernandez,,
Frank Fields,Frank,Fields,,
Albert Fortier,Albert,Fortier,,
Abbey Foster,Abbey,Foster,1900,1962
Pete Fountain,Pete,Fountain,1930,
Joe Fox,Joe,Fox,,
Herman Franklin,Herman,Franklin,,
Howard Franks,Howard,Franks,,
Cie Frazier,Cie,Frazier,1904,1985
Joseph Freelow,Joseph,Freelow,1913,1991
Albert French,Albert,French,1910,1977
Louis Gallaud,Louis,Gallaud,,
Vernon Gilbert,Vernon,Gilbert,,
George Girard,George,Girard,,
Raymond Glapion,Raymond,Glapion,,
Albert Glenny,Albert,Glenny,1870,1958
Happy Goldston,Happy,Goldston,1894,1968
Israel Gorman,Israel,Gorman,1895,1965
Jerry Greene,Jerry,Greene,,
Charlie Hamilton,Charlie,Hamilton,,
Speed Harris,Speed,Harris,,
George Hartman,George,Hartman,,
Monk Hazel,Monk,Hazel,1903,1968
George Henderson,George,Henderson,,
Charles Henry,Charles,Henry,1885,1960
Oscar Henry,Oscar,Henry,,
Sunny Henry,Sunny,Henry,,
Matthew Houston,Matthew,Houston,1911,1981
Avery Howard,Avery,Howard,1908,1966
Kid Howard,Kid,Howard,1908,1966
Percy Humphrey,Percy,Humphrey,1905,1995
Willie Humphrey,Willie,Humphrey,1900,1994
